url,season,episode,title,transcript_written_date,transcript_revised_date,aired_date,writers,directors,timestamp
http://www.kacl780.net/frasier/transcripts/season_1/episode_1/the_good_son.html,1,1,The Good Son,22nd March 1999.,3rd August 2001.,16th September 1993.,"David Angell,Peter Casey,David Lee",James Burrows,2018-04-13 07:43:15
http://www.kacl780.net/frasier/transcripts/season_1/episode_2/space_quest.html,1,2,Space Quest,,,23rd September 1993,Sy Dukane &Denise Moss,James Burrows,2018-04-13 07:43:32
http://www.kacl780.net/frasier/transcripts/season_1/episode_3/dinner_at_eight.html,1,3,Dinner At Eight,"26th March, 1999.","10th March, 2003.","30th September, 1993.",Anne Fleet &Chuck Ranberg,James Burrows,2018-04-13 07:43:45
http://www.kacl780.net/frasier/transcripts/season_1/episode_4/i_hate_frasier_crane.html,1,4,I Hate Frasier Crane,27th June 1999.,10th March 2003.,7th October 1993.,Christopher Lloyd,David Lee,2018-04-13 07:44:08
http://www.kacl780.net/frasier/transcripts/season_1/episode_5/heres_looking_at_you.html,1,5,Here's Looking At You,19th July 1999,10th March 2003,14th October 1993,Brad Hall,Andy Ackerman,2018-04-13 07:44:28
http://www.kacl780.net/frasier/transcripts/season_1/episode_6/the_crucible.html,1,6,The Crucible,2nd April 1999,15th August 2001,21st October 1993,Sy Dukane& Denise Moss,James Burrows,2018-04-13 08:31:51
http://www.kacl780.net/frasier/transcripts/season_1/episode_7/call_me_irresponsible.html,1,7,Call Me Irresponsible,November 1999,10th March 2003,28th October 1993,Anne Flett andChuck Ranberg,James Burrows,2018-04-13 08:32:14
http://www.kacl780.net/frasier/transcripts/season_1/episode_8/beloved_infidel.html,1,8,Beloved Infidel,November 1999.,10th March 2003.,4th November 1993.,Leslie Eberhard,Andy Ackerman,2018-04-13 08:32:36
http://www.kacl780.net/frasier/transcripts/season_1/episode_9/selling_out.html,1,9,Selling Out,December 13th 1999.,"10th March, 2003.",11th November 1993.,Lloyd Garver,Andy Ackerman,2018-04-13 08:32:54
http://www.kacl780.net/frasier/transcripts/season_1/episode_10/oops.html,1,10,Oops,January 2000.,10th March 2003.,18th November 1993,Denise Moss &Sy Dukane,James Burrows,2018-04-13 08:33:12
http://www.kacl780.net/frasier/transcripts/season_1/episode_11/death_becomes_him.html,1,11,Death Becomes Him,February 2000.,10th March 2003.,2nd December 1993,Leslie Eberhard,Andy Ackerman,2018-04-13 08:33:32
